company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
BKH,4.02B,1.70,0.34,11.27%,3.40%,8.11%
MRTN,1.13B,1.88,0.98,7.10%,5.32%,10.23%
TDOC,11.48B,11.32,0.44,-16.24%,-2.74%,-9.82%
OMCL,2.79B,3.31,1.06,7.51%,4.03%,8.62%
HGV,1.34B,2.35,2.29,10.81%,4.82%,29.70%
OFC,2.48B,1.48,1.09,30.46%,2.57%,12.06%
EHC,6.36B,4.71,0.86,7.36%,7.34%,23.09%
NVAX,731.35M,N/A,0.82,0.00%,-25.55%,N/A
CLH,2.85B,2.25,1.51,3.10%,3.92%,9.11%
EQT,1.80B,0.18,1.33,-49.89%,2.13%,-15.21%
AVT,2.48B,0.63,1.42,-0.63%,2.45%,-2.91%
GOSS,630.26M,1.91,N/A,0.00%,-28.41%,-51.29%
FBC,1.12B,0.63,1.70,19.24%,0.99%,13.35%
PTGX,193.69M,2.41,0.79,0.00%,-40.04%,-101.73%
VECO,473.03M,1.26,1.31,-14.32%,-0.84%,-15.21%
OUT,1.95B,1.78,1.58,7.80%,3.49%,13.10%
ACAD,6.57B,9.39,1.82,-64.99%,-24.87%,-45.04%
FDS,10.08B,14.55,0.76,25.01%,17.01%,55.68%
ENPH,4.04B,14.84,1.06,31.15%,13.20%,137.63%
SJW,1.65B,1.85,0.27,4.35%,1.75%,2.28%
COHR,4.02B,3.13,1.74,1.76%,1.78%,1.83%
NFG,3.23B,1.48,0.66,5.77%,4.57%,4.39%
CDXS,658.63M,6.24,0.63,-21.40%,-7.55%,-19.23%
TRMB,7.95B,2.55,1.64,15.79%,4.33%,17.59%
PVAC,46.84M,0.09,3.84,62.41%,15.31%,49.83%
BGS,1.16B,1.43,0.22,5.17%,4.78%,10.48%
CARG,2.13B,8.30,2.00,6.91%,6.74%,17.28%
EPAY,1.54B,3.88,1.22,-0.61%,-0.04%,-0.70%
HSII,433.69M,1.40,1.07,6.15%,5.97%,14.85%
KBAL,436.20M,1.89,1.08,5.60%,11.33%,19.31%
LPG,835.72M,0.88,1.27,24.43%,4.05%,6.96%
AVXL,184.79M,7.12,1.45,0.00%,-63.06%,-133.21%
CASY,5.92B,3.79,0.75,2.68%,5.79%,15.23%
AL,2.52B,0.45,2.02,28.42%,3.54%,10.75%
CMRE,542.09M,0.38,2.08,27.42%,4.36%,9.66%
GLOG,291.58M,0.42,1.51,-21.06%,3.50%,-9.18%
TTI,40.26M,1.17,2.75,-13.58%,2.72%,-63.46%
CENT,1.43B,1.55,0.30,3.57%,4.39%,8.72%
CGNX,7.25B,5.35,1.81,26.58%,5.15%,15.20%
HLNE,3.09B,22.61,0.97,18.26%,16.76%,55.75%
WIRE,859.97M,1.10,1.19,5.01%,5.84%,8.38%
EGLE,133.09M,0.28,1.19,-8.73%,0.01%,-5.28%
ARQL,865.14M,5.35,2.48,N/A,N/A,N/A
JCAP,255.06M,0.61,1.08,-56.43%,-3.06%,-3.96%
KRC,7.33B,1.71,0.76,23.13%,1.66%,4.63%
UEIC,533.81M,1.95,1.18,1.45%,2.46%,3.92%
SLDB,110.11M,1.38,1.15,0.00%,-73.34%,-146.99%
MWA,1.26B,2.12,1.34,10.68%,7.18%,18.70%
MXL,844.27M,2.03,1.81,-10.36%,-2.65%,-7.48%
MTH,1.37B,0.70,1.63,7.65%,6.25%,15.82%
HSKA,433.72M,2.81,1.67,-6.11%,-0.05%,-4.04%
CENX,323.85M,0.48,1.95,-2.77%,-1.95%,-6.98%
NX,584.11M,1.77,1.57,-4.82%,4.95%,-11.97%
DLX,1.08B,1.89,1.53,-15.09%,8.26%,-43.92%
AUB,1.72B,0.69,1.41,27.29%,0.95%,6.76%
UTL,781.19M,2.08,0.21,7.90%,4.51%,8.64%
KN,1.22B,0.95,1.39,5.09%,2.99%,3.21%
CPT,7.89B,2.18,0.79,21.02%,2.56%,6.19%
EPAM,10.28B,6.47,1.32,11.79%,9.83%,19.15%
HAYN,258.80M,0.85,1.44,3.61%,2.47%,5.42%
NJR,3.25B,1.78,0.42,8.65%,2.39%,10.85%
BELFB,114.81M,0.71,1.30,-2.90%,-0.03%,-8.05%
HWC,1.68B,0.49,1.58,14.35%,0.46%,4.15%
LAWS,241.65M,2.23,1.47,4.21%,7.43%,13.98%
DSKE,90.44M,1.23,2.01,-18.61%,0.38%,-113.01%
NWN,1.89B,2.18,0.42,8.85%,1.97%,8.27%
MSA,3.93B,5.37,1.09,11.07%,9.71%,22.87%
HT,138.45M,0.17,2.27,-3.92%,0.88%,-2.74%
HBMD,203.24M,0.65,0.63,19.32%,0.67%,5.18%
FFG,1.15B,0.78,0.33,12.69%,0.63%,6.90%
CAL,711.39M,1.09,2.14,2.15%,4.21%,9.67%
QUAD,135.54M,0.60,1.95,-3.86%,2.96%,-16.75%
WLFC,168.75M,0.48,0.79,13.01%,4.45%,13.25%
LNG,8.45B,N/A,1.70,9.13%,5.62%,61.68%
WSM,5.43B,4.80,1.57,6.04%,8.54%,29.78%
DO,252.44M,0.08,N/A,N/A,N/A,N/A
HOOK,211.57M,1.79,N/A,0.00%,-27.78%,-49.33%
DXCM,24.85B,28.16,0.73,9.24%,5.95%,18.45%
LGIH,1.13B,1.34,1.20,10.13%,10.44%,26.44%
GCAP,210.92M,0.90,0.07,12.22%,3.52%,15.86%
VEEV,21.86B,14.03,0.91,27.27%,9.16%,20.74%
OPY,251.16M,0.42,1.01,5.07%,2.12%,8.69%
VRTU,848.04M,2.10,1.38,3.65%,4.06%,9.42%
NSA,2.01B,2.87,0.32,0.81%,2.54%,4.95%
AMNB,261.88M,0.82,1.17,24.22%,1.08%,8.48%
IART,3.79B,2.67,1.10,1.76%,4.64%,1.94%
BTAI,451.08M,16.77,2.08,0.00%,-40.81%,-77.51%
RFL,319.95M,2.56,2.50,-115.64%,-3.36%,-4.92%
YCBD,47.74M,0.86,N/A,30.43%,-13.93%,38.79%
GWRS,229.66M,9.31,0.43,5.36%,1.75%,6.21%
FCNCA,3.38B,0.95,1.37,24.28%,1.04%,10.78%
CTRN,271.33M,1.50,1.44,2.11%,3.29%,9.21%
CLVS,467.44M,N/A,2.57,-271.13%,-32.83%,N/A
AJRD,3.25B,5.63,0.44,6.80%,4.84%,24.69%
BCO,2.63B,13.70,1.35,0.47%,3.13%,15.92%
PRSC,711.27M,2.24,0.73,1.09%,2.98%,2.52%
AMCX,1.28B,1.93,0.87,10.16%,8.56%,38.19%
KMPR,4.86B,1.22,0.67,8.92%,3.08%,12.42%
FMNB,329.33M,1.09,0.95,32.29%,1.43%,12.49%
HRTX,1.06B,2.64,1.50,-138.31%,-27.16%,-55.45%
AVAV,1.60B,3.26,0.67,9.15%,4.18%,6.28%
CNST,1.31B,3.89,N/A,0.00%,-23.08%,-45.60%
JBLU,2.41B,0.50,1.36,3.32%,3.17%,5.77%
YEXT,1.73B,8.15,1.49,-40.67%,-17.96%,-85.07%
AGYS,601.12M,6.11,0.91,-6.76%,-3.81%,-10.61%
CSWI,980.92M,3.35,0.90,11.89%,10.51%,16.59%
CUBI,343.97M,0.41,1.51,21.41%,0.67%,7.64%
ACRX,94.89M,N/A,1.83,0.00%,-36.65%,N/A
BHVN,1.98B,N/A,1.30,0.00%,-92.51%,-584.04%
LAUR,2.21B,0.79,0.77,26.65%,2.66%,10.36%
HCC,543.38M,0.71,1.34,19.05%,11.32%,26.53%
LKFN,927.37M,1.55,1.00,43.21%,1.67%,14.38%
NTCT,1.75B,0.89,1.10,-0.31%,0.42%,-0.14%
PSN,3.22B,1.97,N/A,3.08%,1.28%,34.67%
CLAR,291.65M,1.61,1.19,6.86%,2.31%,8.67%
CNR,574.89M,0.61,2.13,-10.07%,N/A,N/A
TRGP,1.61B,0.33,3.09,-22.66%,3.02%,-24.62%
FLDM,179.57M,1.17,1.69,-48.20%,-11.02%,-34.17%
VRCA,282.15M,4.34,N/A,0.00%,-22.12%,-43.84%
AROW,417.51M,1.38,0.62,32.08%,1.17%,12.58%
CRI,2.87B,3.26,1.24,4.39%,6.62%,19.25%
ZGNX,1.37B,5.58,1.82,0.00%,-19.12%,-86.57%
HWKN,379.10M,1.61,N/A,5.25%,6.72%,12.57%
HNI,1.07B,1.84,1.10,3.83%,7.34%,15.60%
IBOC,1.72B,0.81,1.29,34.03%,1.53%,9.11%
BDGE,419.87M,0.84,1.06,29.37%,0.99%,10.04%
FNCB,139.40M,1.04,0.32,24.90%,0.85%,8.03%
UEC,152.43M,2.17,2.14,0.00%,-10.02%,-23.97%
KOP,259.54M,1.76,1.89,2.98%,4.96%,59.84%
GLDD,537.80M,1.92,0.73,8.98%,7.78%,25.32%
IRBT,1.14B,1.75,1.67,3.82%,3.45%,7.57%
IDEX,219.04M,6.53,-2.10,0.00%,-8.58%,-202.37%
SLCA,132.76M,0.19,2.57,-27.99%,0.31%,-45.77%
CBNK,173.65M,1.30,N/A,17.87%,1.26%,12.97%
TRWH,398.04M,1.88,N/A,5.60%,5.47%,9.99%
GWRE,9.32B,5.88,1.23,-2.92%,-1.10%,-1.32%
DOCU,14.23B,24.99,0.69,-21.39%,-6.90%,-35.90%
CONN,250.88M,0.40,2.29,3.63%,2.39%,8.98%
INSW,688.59M,0.67,0.06,5.46%,2.99%,2.08%
GPOR,71.08M,0.05,6.85,-280.61%,-3.05%,-124.37%
MGTX,494.83M,2.59,N/A,0.00%,-11.83%,-31.85%
PSMT,1.70B,2.09,1.01,2.42%,5.63%,10.10%
BBSI,297.50M,1.73,1.57,5.00%,3.67%,33.57%
TREE,2.40B,5.95,2.14,2.90%,5.01%,14.92%
EGRX,628.57M,3.51,1.00,1.28%,2.75%,1.38%
BHB,269.35M,0.68,0.97,19.10%,0.63%,5.88%
BC,2.80B,2.15,2.08,-0.64%,7.33%,1.76%
CSL,6.88B,2.60,0.84,9.54%,7.02%,18.17%
EE,2.76B,2.27,0.40,9.66%,2.70%,7.03%
GRA,2.36B,5.95,1.52,7.52%,5.50%,39.09%
VLY,2.95B,0.71,1.31,27.58%,0.79%,7.21%
AFMD,208.92M,8.39,2.63,-151.17%,-17.86%,-82.15%
HRTG,298.72M,0.67,0.66,5.57%,1.79%,6.62%
BFIN,133.97M,0.76,0.52,20.06%,0.70%,6.04%
SDRL,254.60M,0.14,N/A,-109.52%,-1.96%,-49.65%
NESR,442.91M,0.50,0.78,5.32%,3.03%,4.28%
WEN,3.31B,6.41,1.23,8.74%,3.23%,21.89%
BLUE,2.56B,1.99,2.36,0.00%,-28.89%,-57.24%
HRC,6.69B,4.13,0.75,5.05%,5.21%,9.35%
SKX,3.65B,1.58,1.19,5.51%,5.23%,13.99%
SPXC,1.45B,2.89,1.70,6.09%,3.80%,19.73%
DRNA,1.36B,8.91,1.83,-213.04%,-13.46%,-65.33%
NRC,1.14B,34.75,1.10,27.59%,24.70%,119.81%
ORA,3.45B,2.48,0.63,11.93%,3.77%,6.32%
WSBC,1.59B,0.61,1.06,28.38%,0.99%,6.16%
WETF,364.47M,1.08,2.03,-10.45%,3.91%,-5.85%
PLPC,249.98M,0.93,1.09,5.59%,5.58%,10.03%
LEAF,35.65M,0.75,1.84,-17.70%,-19.56%,-56.27%
GNE,189.10M,2.52,0.98,1.18%,3.93%,1.79%
EVTC,1.63B,6.11,0.99,20.19%,8.98%,41.42%
TRXC,16.56M,0.30,2.77,0.00%,-35.77%,-138.62%
ANH,111.80M,0.24,1.82,0.00%,-4.98%,-45.37%
DJCO,315.22M,2.08,0.79,-98.58%,-0.21%,-42.00%
MODN,760.67M,12.82,1.00,-10.88%,-5.24%,-28.72%
CPLG,224.25M,0.22,N/A,-27.47%,-2.56%,-18.24%
ATEN,488.79M,4.49,0.80,-2.70%,-0.95%,-5.56%
ENVA,449.30M,1.19,2.06,0.74%,6.17%,23.19%
XNCR,1.70B,2.87,1.01,-79.39%,-6.69%,-10.19%
UHT,1.39B,7.63,0.85,24.42%,3.55%,10.55%
FFIC,376.93M,0.65,0.83,20.82%,0.47%,5.92%
USFD,3.90B,1.05,1.47,0.69%,4.03%,5.28%
EPRT,1.20B,1.01,N/A,33.17%,2.50%,4.45%
FCPT,1.31B,1.82,1.07,45.61%,4.34%,10.73%
ESPR,868.59M,43.48,2.16,0.00%,-76.44%,-421.26%
ARCH,437.63M,0.68,0.93,6.39%,4.07%,20.99%
SUM,1.71B,1.20,1.73,3.81%,3.69%,6.42%
WTI,787.68M,N/A,3.28,13.92%,3.96%,N/A
MRCY,3.90B,2.96,1.02,9.43%,3.86%,6.60%
LMNR,348.58M,1.69,1.05,-4.49%,-1.82%,-3.43%
ANAB,385.40M,0.95,0.85,0.00%,-12.65%,-19.23%
CIVB,240.32M,0.73,0.95,30.41%,1.32%,10.01%
AYR,2.40B,1.17,N/A,N/A,N/A,N/A
FWONA,6.26B,1.14,1.27,-15.38%,-0.19%,-5.76%
CPRX,398.12M,4.54,2.00,36.09%,30.39%,56.94%
DFIN,178.13M,0.66,2.13,4.98%,4.99%,17.43%
CFMS,45.05M,2.76,2.06,-41.29%,-25.98%,-151.62%
CNX,995.03M,0.24,1.61,-23.52%,1.89%,-4.34%
BLX,408.30M,0.40,1.52,66.80%,1.25%,8.25%
IRWD,1.61B,N/A,1.43,19.14%,24.40%,N/A
AXGN,413.28M,3.13,0.43,-25.84%,-11.60%,-21.00%
BANR,1.16B,0.73,1.12,24.79%,1.06%,8.34%
TOWN,1.31B,0.80,1.21,24.19%,1.15%,8.62%
NATI,4.32B,3.67,1.05,20.09%,6.27%,21.89%
SXC,318.63M,0.65,0.85,-9.88%,3.20%,-25.80%
EXTR,371.23M,7.29,1.68,-12.46%,-2.73%,-172.35%
MTRN,711.05M,1.16,1.49,2.64%,5.05%,5.27%
FRPH,422.32M,1.12,0.66,73.96%,0.34%,2.24%
OII,291.85M,0.27,3.27,-33.06%,-2.53%,-68.16%
ARCB,442.60M,0.58,1.57,1.24%,2.80%,5.00%
FBIZ,133.11M,0.68,1.11,23.81%,0.99%,10.88%
LHCG,4.36B,3.09,N/A,4.73%,4.64%,7.99%
SHAK,1.42B,4.41,1.83,2.70%,1.67%,6.39%
NPTN,352.80M,2.20,1.59,0.89%,0.73%,2.08%
BWXT,4.64B,11.48,0.93,13.39%,12.13%,80.66%
ENSG,2.02B,3.09,0.76,5.76%,4.23%,16.92%
NODK,299.94M,0.97,0.19,3.53%,1.45%,3.07%
ESGR,3.52B,0.81,0.54,4.40%,-0.01%,0.46%
XHR,1.17B,0.67,1.17,0.24%,1.58%,0.16%
MYRG,436.98M,1.20,0.79,1.90%,4.22%,11.19%
AKR,1.07B,0.69,1.14,10.69%,0.69%,-2.03%
AZPN,6.43B,16.39,1.30,39.54%,14.89%,57.24%
TFSL,4.28B,2.47,0.29,28.33%,0.57%,4.88%
ASMB,483.82M,1.77,1.25,0.00%,-22.70%,-43.98%
TVTY,304.72M,1.34,2.18,-38.98%,5.09%,-186.41%
SGH,643.97M,2.37,1.10,-0.18%,2.56%,-0.69%
MGTA,248.62M,1.75,N/A,0.00%,-37.60%,-63.18%
PACW,2.11B,0.43,1.70,-105.70%,-4.11%,-26.33%
WHG,160.76M,1.08,1.57,8.61%,0.61%,4.50%
PGTI,491.48M,1.14,1.34,6.45%,6.19%,12.14%
SMBC,223.55M,0.89,0.81,32.04%,1.24%,11.72%
DLA,72.75M,0.46,1.35,2.55%,2.78%,6.87%
ZAGG,239.69M,1.49,1.65,2.67%,1.79%,7.95%
DOC,2.82B,1.17,0.79,18.66%,1.67%,3.12%
GCP,1.30B,2.41,0.70,2.59%,4.55%,5.45%
KBR,2.94B,1.60,1.21,0.99%,3.91%,4.81%
PII,2.95B,2.66,2.05,3.99%,5.55%,28.71%
RRGB,426.72M,1.16,2.59,-0.60%,0.32%,-2.13%
LOGC,114.69M,2.71,N/A,0.00%,-42.14%,-78.64%
LULU,31.19B,18.92,0.96,16.22%,20.75%,38.00%
SC,4.47B,0.61,1.24,17.76%,1.61%,12.07%
BURL,14.41B,36.79,0.70,6.39%,8.92%,109.33%
SND,41.19M,0.17,1.61,12.02%,8.71%,12.00%
DK,1.16B,0.70,2.11,-1.72%,-0.86%,-7.70%
BBCP,297.12M,0.92,1.11,-3.02%,2.32%,-2.91%
VCYT,1.22B,5.08,0.88,-18.37%,-7.60%,-14.26%
OTTR,1.80B,2.30,0.36,9.34%,3.70%,11.01%
DHT,1.13B,1.21,-0.06,20.84%,6.92%,14.02%
NVT,2.86B,1.11,1.51,8.46%,4.21%,7.10%
CRNX,361.43M,3.08,N/A,0.00%,-26.48%,-45.06%
NBR,142.37M,0.07,2.69,-32.98%,-0.86%,-37.08%
HTLD,1.51B,2.21,0.54,11.05%,4.58%,10.46%
SAVE,883.48M,0.39,1.33,6.71%,3.40%,11.94%
AHH,832.09M,2.41,0.76,11.67%,1.64%,6.25%
DEI,5.35B,1.97,0.77,37.33%,2.03%,10.50%
VEC,479.82M,1.84,1.67,2.58%,5.12%,14.75%
ZIOP,525.00M,5.53,2.48,0.00%,-27.90%,-96.37%
NKSH,207.02M,1.13,0.53,36.50%,1.32%,9.12%
ADRO,221.49M,3.38,0.29,-243.93%,-14.01%,-76.04%
PDLB,177.92M,1.12,0.51,-17.56%,-0.64%,-4.30%
CBZ,1.14B,1.73,0.63,7.33%,4.38%,10.88%
WWE,2.63B,9.54,1.47,10.44%,12.70%,36.29%
SABR,1.63B,1.74,1.77,-3.10%,1.62%,-12.70%
CTO,217.56M,0.75,0.74,205.56%,1.08%,-0.41%
FRBK,128.88M,0.52,1.21,-4.42%,-0.15%,-1.81%
ODT,885.26M,5.46,1.06,0.00%,-51.57%,-97.00%
MNOV,163.60M,2.18,1.73,0.00%,-9.62%,-14.78%
AGNC,6.01B,0.59,0.90,0.00%,-1.96%,-19.69%
PFNX,302.22M,4.18,0.86,-7.03%,-2.46%,-4.28%
RTIX,210.39M,0.88,2.14,-3.72%,0.68%,-4.07%
VPG,271.77M,1.13,1.45,6.27%,4.47%,7.39%
AXL,407.93M,0.42,2.54,-16.69%,3.67%,-107.19%
MNKD,219.53M,N/A,2.16,-74.96%,-26.53%,N/A
RNET,36.82M,0.79,1.62,-13.93%,1.04%,-106.38%
KALU,1.09B,1.49,1.11,4.24%,6.18%,8.59%
BYSI,402.44M,21.06,1.10,0.00%,-97.61%,-370.89%
ITI,202.71M,3.21,0.92,-7.55%,-6.17%,-16.87%
RGLD,5.75B,2.59,0.80,36.03%,4.65%,7.81%
CIO,394.69M,0.88,1.31,2.33%,1.59%,0.96%
PMBC,111.17M,0.75,0.65,5.79%,0.16%,1.68%
EGAN,224.95M,7.79,0.74,7.41%,4.89%,19.72%
PLUG,1.09B,8.07,1.22,-36.87%,-6.06%,-131.15%
ASPS,119.11M,N/A,1.40,-52.72%,1.03%,-238.52%
CNDT,512.19M,0.39,1.65,-38.42%,0.02%,-75.60%
TRUP,913.25M,6.68,1.55,-0.40%,-0.31%,-1.23%
GATX,2.18B,1.19,1.07,15.59%,2.24%,11.87%
FIVE,6.30B,9.77,1.13,9.48%,9.33%,25.46%
FSBW,160.60M,0.78,1.33,24.75%,1.31%,11.73%
CVA,1.13B,3.00,1.22,-1.43%,1.80%,-7.13%
PHAS,95.26M,1.59,N/A,0.00%,-43.75%,-96.05%
APYX,122.72M,1.72,0.70,-58.14%,-16.27%,-20.78%
INSP,1.47B,10.50,1.30,-47.30%,-14.97%,-28.95%
APLE,2.05B,0.62,1.05,10.91%,2.28%,3.99%
BPOP,3.08B,0.52,1.30,25.12%,1.06%,9.68%
SPOK,203.04M,0.81,0.11,-10.30%,-2.34%,-6.25%
GIII,1.31B,1.04,2.55,4.55%,6.47%,11.60%
CWH,502.12M,N/A,3.55,-1.02%,2.54%,N/A
COR,4.39B,27.78,0.32,12.74%,4.28%,40.85%
GERN,271.75M,1.78,1.65,0.00%,-25.83%,-43.82%
MBII,118.89M,5.05,0.10,-132.91%,-22.59%,-233.91%
FNF,6.78B,1.26,1.21,9.51%,7.05%,15.39%
HMN,1.51B,0.96,0.48,12.01%,1.39%,11.77%
MOD,391.16M,0.75,2.32,0.52%,2.57%,1.99%
REXR,4.77B,2.06,0.69,23.20%,1.45%,2.79%
LPI,90.92M,0.11,4.35,-11.74%,14.62%,-8.69%
AVYA,668.68M,0.60,1.80,-49.10%,1.63%,-112.98%
BCPC,3.19B,4.29,0.60,12.20%,6.16%,10.92%
PFS,845.81M,0.60,1.03,28.78%,0.97%,6.94%
TRTN,1.84B,0.86,1.77,24.75%,4.14%,13.95%
ITIC,241.93M,1.26,0.66,10.28%,5.65%,9.73%
CCS,483.46M,0.46,1.83,4.68%,3.95%,12.45%
RVNC,843.99M,3.74,1.54,0.00%,-25.72%,-70.28%
TREC,147.56M,0.86,0.77,-2.35%,1.96%,-4.78%
PEI,413.34M,0.90,2.05,-3.15%,0.65%,-2.67%
BF-A,31.76B,15.82,0.76,25.25%,12.98%,49.06%
DX,239.93M,0.57,1.34,0.00%,-3.82%,-34.44%
SYKE,1.09B,1.25,0.86,4.09%,4.40%,7.87%
SMPL,2.10B,1.78,0.64,3.86%,4.19%,2.53%
EB,632.48M,1.49,N/A,-69.69%,-15.20%,-57.15%
LII,6.95B,N/A,0.88,9.42%,13.75%,N/A
AEL,1.72B,0.38,1.75,24.20%,0.64%,16.06%
AEGN,550.08M,1.29,1.30,-1.51%,3.89%,-3.83%
EXEL,5.27B,3.12,1.53,30.01%,12.12%,18.76%
CIX,189.13M,1.17,0.32,12.99%,6.64%,10.24%
RLI,3.95B,3.97,0.25,7.56%,1.12%,7.17%
FCF,895.86M,0.85,1.14,27.16%,1.04%,8.31%
BFST,181.41M,0.62,0.96,25.36%,1.03%,8.20%
CLGX,2.43B,2.55,1.21,4.56%,3.97%,10.27%
MBI,515.23M,0.62,1.08,-205.20%,-2.41%,-79.03%
OFLX,851.96M,22.79,0.72,15.70%,19.58%,31.63%
TG,523.77M,1.39,1.02,0.65%,4.07%,1.73%
ECOM,205.93M,2.07,0.77,5.99%,4.04%,8.12%
SSD,2.69B,3.02,1.34,12.76%,10.89%,17.67%
IOVA,3.80B,12.70,1.20,0.00%,-39.63%,-67.88%
ALOT,87.85M,1.20,0.56,1.32%,1.29%,2.49%
EVFM,264.10M,16.89,-0.71,0.00%,-386.37%,N/A
EXLS,1.79B,2.66,1.20,7.55%,4.81%,11.72%
SB,177.76M,0.38,0.99,8.11%,2.51%,3.30%
ALCO,232.17M,1.19,0.69,30.81%,5.80%,19.96%
TAST,93.68M,0.30,2.31,-2.80%,-0.74%,-18.30%
FSS,1.64B,2.56,1.14,9.27%,8.44%,19.30%
ADMS,81.38M,N/A,1.75,-160.44%,-26.12%,-383.56%
TGTX,1.08B,28.07,2.27,0.00%,-105.19%,"-2,109.73%"
OCFC,959.36M,0.83,0.98,27.38%,0.90%,6.62%
NNN,5.54B,1.28,0.63,41.70%,3.31%,6.74%
AXNX,876.92M,4.79,N/A,-208.60%,-27.10%,-53.61%
THO,4.44B,2.10,2.51,2.28%,6.77%,10.07%
SYNL,79.08M,0.74,0.43,-1.11%,-0.51%,-3.11%
CZR,4.61B,2.16,1.96,-9.57%,2.05%,-29.05%
HLX,245.94M,0.14,3.63,5.83%,1.30%,2.59%
IBCP,281.75M,0.80,0.98,25.46%,1.19%,12.31%
MIK,723.65M,N/A,2.55,5.37%,12.00%,N/A
FLO,4.34B,3.44,0.37,2.21%,5.70%,7.18%
WAFD,1.97B,0.96,0.99,36.01%,1.24%,10.52%
GLT,541.45M,0.97,1.64,-2.09%,3.26%,-4.15%
SNV,2.59B,0.59,1.72,27.88%,0.99%,9.98%
CHRA,50.86M,0.97,N/A,-9.62%,-2.97%,-66.12%
RIG,712.87M,0.06,2.43,-47.72%,-0.28%,-12.09%
DRQ,1.07B,0.98,1.38,-2.86%,0.26%,-1.13%
MTN,9.46B,7.26,1.15,12.63%,6.53%,19.41%
APPS,615.48M,12.70,1.76,-5.35%,7.65%,-14.63%
DY,1.03B,1.19,1.41,1.71%,3.35%,6.84%
RECN,402.76M,1.34,N/A,N/A,N/A,N/A
CCXI,2.48B,37.53,2.06,-192.93%,-19.35%,-92.65%
CTBI,566.50M,0.92,0.80,32.32%,1.30%,9.44%
AIMC,1.13B,0.59,2.53,-1.38%,3.21%,-1.36%
ITGR,2.06B,1.79,1.13,8.32%,4.48%,9.01%
SLCT,137.76M,0.65,0.78,21.68%,0.87%,5.09%
BOKF,2.99B,0.62,1.63,26.86%,1.04%,9.46%
AMSWA,477.99M,4.06,0.51,7.18%,2.05%,6.90%
WABC,1.58B,2.16,0.70,38.83%,1.39%,11.41%
ESI,2.08B,0.94,1.87,4.24%,3.49%,4.16%
CNSL,332.34M,0.97,1.16,0.18%,1.86%,0.79%
CMD,2.77B,3.78,1.17,2.02%,5.71%,3.01%
WBT,725.83M,2.87,1.86,2.80%,5.99%,21.79%
CBS,8.81B,0.65,N/A,N/A,N/A,N/A
BKE,1.20B,2.88,1.16,11.60%,11.78%,26.67%
PEBK,120.42M,0.88,0.66,20.71%,1.08%,9.80%
AVNS,1.29B,1.02,1.21,-3.07%,-0.53%,-1.73%
HBCP,221.44M,0.70,0.69,24.35%,0.99%,7.07%
CIM,1.69B,0.43,0.92,-9.94%,-0.31%,-2.09%
GHM,216.24M,2.20,0.77,-3.57%,0.61%,-3.21%
HLI,3.42B,3.61,0.74,15.86%,11.85%,19.60%
MPX,274.49M,3.56,1.11,9.31%,17.07%,33.04%
SWN,915.42M,0.28,1.60,-47.35%,7.76%,-53.90%
TMHC,1.43B,0.56,1.57,3.32%,3.52%,5.98%
PENN,1.48B,0.80,2.31,-11.80%,2.80%,-38.64%
WPX,1.71B,0.38,3.66,-3.49%,0.78%,2.14%
FRME,1.42B,0.80,1.20,36.17%,1.40%,9.89%
PRTY,221.04M,0.28,2.66,-22.67%,2.52%,-67.74%
MTX,1.24B,0.88,1.78,7.47%,4.59%,9.58%
FRBA,140.64M,0.62,0.86,21.32%,0.64%,5.83%
PGNX,329.06M,7.07,1.88,-180.28%,-29.18%,-116.89%
NEWR,2.74B,7.41,1.09,-14.84%,-4.47%,-24.44%
EBSB,587.95M,0.81,0.91,34.76%,1.03%,9.23%
RCKT,769.01M,2.50,1.54,0.00%,-16.53%,-35.62%
DCO,289.47M,0.99,1.20,4.56%,4.95%,11.63%
CIEN,6.26B,2.88,0.84,7.78%,6.83%,13.28%
LOVE,165.01M,1.95,N/A,-6.52%,-8.29%,-18.00%
KWR,2.24B,1.81,1.48,-0.82%,3.66%,-1.29%
CROX,1.16B,8.67,1.82,8.71%,10.19%,97.60%
AGS,94.19M,0.70,2.88,-9.12%,1.33%,-20.70%
ALEC,1.91B,9.79,N/A,0.00%,-15.09%,-38.56%
IIVI,2.60B,1.26,1.17,-4.52%,2.88%,-5.76%
RICK,90.98M,0.54,1.52,4.57%,5.73%,5.12%
FET,19.75M,0.04,4.29,-68.75%,-1.53%,-80.96%
MTSC,431.73M,0.88,1.49,2.59%,5.04%,4.68%
CLDT,278.93M,0.37,1.90,-3.61%,1.56%,-1.42%
LJPC,114.56M,N/A,2.68,0.00%,-35.00%,N/A
SIX,1.06B,N/A,2.21,11.19%,9.73%,N/A
ROLL,2.82B,2.62,1.24,17.33%,N/A,12.31%
JCOM,3.53B,2.69,0.75,12.81%,5.87%,15.66%
AGLE,135.54M,2.26,2.06,0.00%,-52.83%,-100.34%
MMI,1.06B,2.15,1.15,8.89%,9.62%,15.90%
CWCO,247.88M,1.51,0.25,12.24%,3.28%,6.17%
DAKT,266.37M,1.35,0.73,-1.51%,-1.22%,-4.82%
AQUA,1.31B,3.17,2.20,4.54%,3.92%,17.40%
SEIC,6.85B,3.94,1.29,29.85%,14.54%,29.47%
STIM,35.39M,0.74,N/A,-55.58%,-18.72%,-66.96%
